site_name,state,lat,lon,elevation_m,pct_of_median_longterm_swe,daily_swe_change_inches,HUC02,file_name,water_year,date,year,month,day
Burro Mountain,CO,39.88,-107.6,2865.1,67,NA,HUC14,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Butte,CO,38.89,-106.95,3096.8,87,0,HUC14,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Cascade,CO,37.65,-107.81,2706.6,52,0,HUC14,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Columbine,CO,40.39,-106.6,2792,69,0,HUC10,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Columbine Pass,CO,38.42,-108.38,2865.1,61,0,HUC14,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Columbus Basin,CO,37.44,-108.02,3287.3,56,0,HUC14,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Copeland Lake,CO,40.21,-105.57,2621.3,89,0,HUC10,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Copper Mountain,CO,39.49,-106.17,3215.6,91,0,HUC14,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Crosho,CO,40.17,-107.06,2773.7,75,0,HUC14,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Culebra #2,CO,37.21,-105.2,3200.4,146,0,HUC13,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Cumbres Trestle,CO,37.02,-106.45,3060.2,101,0,HUC13,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Deadman Hill,CO,40.81,-105.77,3115.1,85,0.2,HUC10,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Dry Lake,CO,40.53,-106.78,2560.3,78,0,HUC14,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
El Diente Peak,CO,37.79,-108.02,3048,96,0,HUC14,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Elk River,CO,40.85,-106.97,2651.8,83,0,HUC14,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Fremont Pass,CO,39.38,-106.2,3474.7,71,0,HUC14,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Grizzly Peak,CO,39.65,-105.87,3383.3,71,0,HUC14,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Hoosier Pass,CO,39.36,-106.06,3474.7,83,0,HUC10,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Idarado,CO,37.93,-107.68,2987,93,0,HUC14,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Independence Pass,CO,39.08,-106.61,3230.9,79,0,HUC14,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Ivanhoe,CO,39.29,-106.55,3169.9,95,0,HUC14,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Joe Wright,CO,40.53,-105.89,3084.6,84,0,HUC10,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
